organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Lateolabrax maculatus	315492	PRJNA408177	408177	Animals	Fishes	519.239	41.0772	GCA_004023545.1	chromosome Lm1:CP027262.1; chromosome Lm10:CP027271.1; chromosome Lm11:CP027272.1; chromosome Lm12:CP027273.1; chromosome Lm13:CP027274.1; chromosome Lm14:CP027275.1; chromosome Lm15:CP027276.1; chromosome Lm16:CP027277.1; chromosome Lm17:CP027278.1; chromosome Lm18:CP027279.1; chromosome Lm19:CP027280.1; chromosome Lm2:CP027263.1; chromosome Lm20:CP027281.1; chromosome Lm21:CP027282.1; chromosome Lm22:CP027283.1; chromosome Lm23:CP027284.1; chromosome Lm24:CP027285.1; chromosome Lm3:CP027264.1; chromosome Lm4:CP027265.1; chromosome Lm5:CP027266.1; chromosome Lm6:CP027267.1; chromosome Lm7:CP027268.1; chromosome Lm8:CP027269.1; chromosome Lm9:CP027270.1	NA	24	NA	NA	2019-01-15	2019-01-15	Chromosome	BGI	SAMN07680090
Foeniculum vulgare	48038	PRJNA419638	419638	Plants	Land Plants	1010.97	32.2	GCA_003724115.1	NA	PHNY01	300377	NA	NA	2018-11-13	2018-11-13	Scaffold	University of Padua	SAMN07983892
Ditylenchus destructor	166010	PRJNA312427	312427	Animals	Roundworms	111.138	36.1	GCA_001579705.1	NA	LSTP01	1761	NA	NA	2016-03-03	2016-03-03	Scaffold	Huazhong Agricultural University	SAMN04497895
Phaffia rhodozyma	264483	PRJEB6925	283368	Fungi	Basidiomycetes	19.5195	47.3	GCA_001007165.2	NA	NA	266	NA	6380	2015-05-09	2015-05-09	Contig	IPF	SAMEA2690405
Phoebis sennae	40077	PRJNA308118	308118	Animals	Insects	287.49	31.8	GCA_001586405.1	NA	LQNK01	3484	NA	NA	2016-03-10	2016-03-10	Scaffold	UT Southwestern Medical Center	SAMN04386831
Sphaeroforma sirkka	1618205	PRJNA305168	305168	Protists	Other Protists	125.635	40.2034	GCA_001586965.3	mitochondrion MT:CM010750.1	LUCW03	2688	NA	NA	2016-03-11	2018-09-21	Contig	University of Alaska Fairbanks	SAMN04318421
Xeromyces bisporus	89491	PRJEB6149	271389	Fungi	Ascomycetes	22.0328	49.5359	GCA_900006255.1	mitochondrion Xbisp_mitochondrion:HG983520.1	CCCX01	572	NA	NA	2014-12-30	2014-12-30	Scaffold	UPPSALA UNIVERSITET	SAMEA2500982
Peltaster fructicola	286661	PRJNA293964	293964	Fungi	Ascomycetes	19.0249	51.9	GCA_001592805.1	NA	LJAO01	14	NA	NA	2016-03-15	2016-03-15	Scaffold	Northwest A&F University	SAMN04012580
Cryptosporidium baileyi	27987	PRJNA222835	222835	Protists	Apicomplexans	8.49364	24.2	GCA_001593455.1	NA	JIBL01	145	NA	NA	2016-03-17	2017-11-28	Contig	IGS	SAMN02382006
Miniopterus natalensis	291302	PRJNA317472	317472	Animals	Mammals	1803.1	42.4	GCA_001595765.1	NA	LDJU01	1269	22993	29787	2016-03-22	2016-03-22	Scaffold	NCBI	SAMN03652541
Lotharella oceanica	641309	PRJNA260937	260937	Protists	Other Protists	0.683589	32.79	GCA_000698435.2	chromosome 1:CP006627.1; chromosome 2:CP006628.1; chromosome 3:CP006629.1; plastid Pltd:KF438023.1	NA	4	748	668	2014-06-05	2014-06-05	Chromosome	NCBI	SAMN02228105
Utricularia reniformis	192314	PRJNA290588	290588	Plants	Land Plants	304.539	36	GCA_009725065.1	NA	RWGZ01	1825	NA	NA	2019-12-02	2019-12-02	Scaffold	UNESP-FCAV	SAMN03893229
Atta colombica	520822	PRJNA343260	343260	Animals	Insects	291.258	32.9	GCA_001594045.1	NA	LKEW01	1550	11134	16933	2016-03-17	2016-03-25	Scaffold	NCBI	SAMN03982875
Cyphomyrmex costatus	456900	PRJNA343963	343963	Animals	Insects	300.317	35.3	GCA_001594065.1	NA	LKEX01	15379	12418	15690	2016-03-17	2016-03-25	Scaffold	NCBI	SAMN03982885
Trachymyrmex cornetzi	471704	PRJNA343972	343972	Animals	Insects	369.438	36	GCA_001594075.1	NA	LKEY01	19761	13700	21290	2016-03-17	2016-03-25	Scaffold	NCBI	SAMN03982882
Trachymyrmex septentrionalis	34720	PRJNA343973	343973	Animals	Insects	291.747	34.7	GCA_001594115.1	NA	LKEZ01	5836	12000	20394	2016-03-17	2016-03-25	Scaffold	NCBI	SAMN03982881
Monotropa hypopitys	176248	PRJNA310692	310692	Plants	Land Plants	2197.49	41.2	GCA_002855965.1	NA	NMUG01	1259264	NA	NA	2018-01-03	2018-01-03	Contig	Institute of Bioengineering, Research Center of Biotechnology of RAS	SAMN04453695
Panicum miliaceum	4540	PRJNA429322	429322	Plants	Land Plants	848.352	46.8382	GCA_002895445.2	chromosome 1:CM010235.1; chromosome 2:CM010236.1; chromosome 3:CM010237.1; chromosome 4:CM010238.1; chromosome 5:CM010239.1; chromosome 6:CM010240.1; chromosome 7:CM010241.1; chromosome 8:CM010242.1; chromosome 9:CM010243.1; chromosome 10:CM010244.1; chromosome 11:CM010245.1; chromosome 12:CM010246.1; chromosome 13:CM010247.1; chromosome 14:CM010248.1; chromosome 15:CM010249.1; chromosome 16:CM010250.1; chromosome 17:CM010251.1; chromosome 18:CM010252.1	PPDP02	466	NA	NA	2018-01-23	2018-07-10	Chromosome	China Agricultural University	SAMN08335224
Nannopterum brasilianus	37046	PRJNA327123	327123	Animals	Birds	1346.19	42.2	GCA_002174335.1	NA	NFME01	266364	NA	NA	2017-06-06	2017-06-06	Scaffold	UCLA	SAMN06832916
Chionodraco hamatus	36188	PRJNA505760	505760	Animals	Fishes	829.466	25.4	GCA_009756495.1	NA	RRCA01	94664	NA	NA	2019-12-16	2019-12-16	Scaffold	University of Padova	SAMN10434303
Cairneyella variabilis	1802957	PRJNA225634	225634	Fungi	Ascomycetes	50.693600000000004	47.6	GCA_001625345.1	NA	AYLM01	3371	NA	NA	2016-04-21	2016-04-21	Contig	CSIRO	SAMN04263868
Apiotrichum montevideense	82521	PRJDB3572	313775	Fungi	Basidiomycetes	24.8722	58.2	GCA_001598995.1	NA	BCFV01	61	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00027179
Apiotrichum domesticum	82514	PRJDB3573	313776	Fungi	Basidiomycetes	24.5109	58.5	GCA_001599015.1	NA	BCFW01	28	NA	NA	2016-03-01	2018-08-30	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028323
Ambrosiozyma kashinagicola	489715	PRJDB3608	313780	Fungi	Ascomycetes	12.321	36.1	GCA_001599075.1	NA	BCGA01	23	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028327
Hyphopichia homilentoma	45558	PRJDB3610	313781	Fungi	Ascomycetes	12.1768	49.4	GCA_001599095.1	NA	BCGB01	8	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028329
[Candida] sorboxylosa	49334	PRJDB3611	313782	Fungi	Ascomycetes	10.7149	38.2	GCA_001599115.1	NA	BCGC01	37	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028330
Wickerhamia fluorescens	45790	PRJDB3613	313784	Fungi	Ascomycetes	13.1785	37.3	GCA_001599155.1	NA	BCGE01	20	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028332
Pestalotiopsis sp. JCM 9685	1633207	PRJDB3782	313890	Fungi	Ascomycetes	48.23	51.6	GCA_001599175.1	NA	BCGF01	13	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028333
Cyberlindnera fabianii	36022	PRJDB3616	313787	Fungi	Ascomycetes	12.3038	44.2	GCA_001599195.1	NA	BCGI01	12	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028336
Saccharomycopsis malanga	44092	PRJNA421856	421856	Fungi	Ascomycetes	16.9524	37.9312	GCA_004014935.1	chromosome 1:CP025321.1; chromosome 2:CP025322.1; chromosome 3:CP025323.1; chromosome 4:CP025324.1; chromosome 5:CP025325.1; chromosome 6:CP025326.1; mitochondrion MT:CP025327.1	NA	7	NA	NA	2019-01-14	2019-01-14	Complete Genome	Chung-Ang university	SAMN08158246
Meyerozyma carpophila	374178	PRJDB3618	313789	Fungi	Ascomycetes	10.2429	47.4	GCA_001599235.1	NA	BCGK01	10	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028338
[Candida] succiphila	51927	PRJDB3619	313790	Fungi	Ascomycetes	12.1499	40.9	GCA_001599255.1	NA	BCGL01	22	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028339
Wickerhamiella domercqiae	45788	PRJDB3620	313791	Fungi	Ascomycetes	8.47081	48.4	GCA_001599275.1	NA	BCGM01	4	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028340
[Candida] intermedia	45354	PRJEB14359	325235	Fungi	Ascomycetes	13.1621	43.5298	GCA_900106115.1	chromosome I:LT635756.1; chromosome II:LT635757.1; chromosome III:LT635758.1; chromosome IV:LT635759.1; chromosome V:LT635760.1; chromosome VI:LT635761.1; chromosome VII:LT635762.1; mitochondrion M:LT635763.1	NA	8	5936	5931	2016-11-25	2016-11-25	Chromosome	CHALMERS UNIVERSITY OF TECHNOLOGY	SAMEA4029010
Aspergillus awamori	105351	PRJDB4986	496618	Fungi	Ascomycetes	38.5978	49.3	GCA_003850985.1	NA	BDHI01	33	11669	11224	2018-10-13	2018-10-13	Contig	Medical Mycology Research Center	SAMD00056021
Chalaropsis thielavioides	112131	PRJDB3629	313799	Fungi	Ascomycetes	23.333	52.1	GCA_001599435.1	NA	BCGU01	12	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028349
Memnoniella echinata	80383	PRJDB3641	313808	Fungi	Ascomycetes	43.682	49.8	GCA_001599555.1	NA	BCHF01	106	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028361
Beverwykella pulmonaria	409207	PRJDB3643	313810	Fungi	Ascomycetes	45.9662	48.2	GCA_001599595.1	NA	BCHH01	50	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028363
Actinomucor elegans	64647	PRJDB3646	313812	Fungi	Other Fungi	34.1712	35.9	GCA_001599635.1	NA	BCHK01	192	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028366
Golubevia pallescens	58918	PRJDB3650	313816	Fungi	Basidiomycetes	27.7563	43.2	GCA_001599655.1	NA	BCHO01	63	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028370
Basipetospora chlamydospora	89487	PRJDB3651	313817	Fungi	Ascomycetes	33.4899	55.7	GCA_001599675.1	NA	BCHP01	17	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028371
Phaeotremella skinneri	89928	PRJDB3655	313820	Fungi	Basidiomycetes	20.7883	50.2	GCA_001599695.1	NA	BCHT01	58	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028375
Phaeotremella fagi	334123	PRJDB3656	313821	Fungi	Basidiomycetes	22.6499	42.4	GCA_001599715.1	NA	BCHU01	30	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028376
Gliomastix tumulicola	909944	PRJDB3659	313824	Fungi	Ascomycetes	42.3854	54.8	GCA_001599755.1	NA	BCHX01	72	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028379
Exophiala alcalophila	91920	PRJDB3660	313825	Fungi	Ascomycetes	29.8536	54.1	GCA_001599775.1	NA	BCHY01	12	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028380
Exophiala calicioides	135514	PRJDB3661	313826	Fungi	Ascomycetes	36.3667	52.8	GCA_001599795.1	NA	BCHZ01	37	NA	NA	2016-03-01	2016-03-01	Scaffold	﻿RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028381
Thermoascus crustaceus	5088	PRJDB3664	313828	Fungi	Ascomycetes	31.6443	49.2	GCA_001599835.1	NA	BCIC01	33	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028384
Aspergillus chevalieri	182096	PRJDB3666	313830	Fungi	Ascomycetes	28.0052	48	GCA_001599875.1	NA	BCIE01	75	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028386
Priceomyces haplophilus	45502	PRJDB3667	313831	Fungi	Ascomycetes	10.5171	41	GCA_001599895.1	NA	BCIF01	9	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028387
Symbiotaphrina buchneri	40220	PRJDB3668	313832	Fungi	Ascomycetes	23.7121	51.6	GCA_001599915.1	NA	BCIG01	169	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028388
Holtermannia corniformis	71782	PRJDB3671	313834	Fungi	Basidiomycetes	20.721800000000002	55.2	GCA_001599935.1	NA	BCIJ01	129	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028391
Cystobasidium pallidum	106015	PRJDB3673	313836	Fungi	Basidiomycetes	21.7214	49.7	GCA_001599955.1	NA	BCIL01	69	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028393
Cystobasidiopsis lactophilus	5440	PRJDB3676	313839	Fungi	Basidiomycetes	22.1806	56.2	GCA_001599975.1	NA	BCIO01	19	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028396
Ambrosiozyma monospora	43982	PRJDB3677	313840	Fungi	Ascomycetes	24.9784	37.2	GCA_001599995.1	NA	BCIP01	118	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028397
Solicoccozyma phenolica	104411	PRJDB3680	313842	Fungi	Basidiomycetes	22.2635	54.9	GCA_001600015.1	NA	BCIS01	71	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028400
Holtermanniella nyarrowii	104675	PRJDB3681	313843	Fungi	Basidiomycetes	17.7354	52.7	GCA_001600035.1	NA	BCIT01	33	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028401
Filobasidium wieringae	104416	PRJDB3683	313844	Fungi	Basidiomycetes	19.7813	49.9	GCA_001600055.1	NA	BCIV01	36	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028403
Sporopachydermia quercuum	54094	PRJDB3621	313792	Fungi	Ascomycetes	16.4115	36.2	GCA_001599295.1	NA	BCGN01	15	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028341
Nakazawaea peltata	1538182	PRJDB3624	313795	Fungi	Ascomycetes	11.6538	40.5	GCA_001599355.1	NA	BCGQ01	11	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028344
Phoma herbarum	73001	PRJDB3625	313796	Fungi	Ascomycetes	39.2636	51.7	GCA_001599375.1	NA	BCGR01	218	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028345
Scheffersomyces lignosus	1111081	PRJDB3626	313797	Fungi	Ascomycetes	16.5925	41.2	GCA_001599395.1	NA	BCGS01	19	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028346
Yarrowia deformans	1608523	PRJEB18082	355684	Fungi	Ascomycetes	21.1188	49.5	GCA_900519085.1	NA	ULGY01	42	NA	NA	2018-08-19	2018-08-19	Scaffold	INRA UMR 1319	SAMEA4824135
Bullera alba	157611	PRJDB3685	313846	Fungi	Basidiomycetes	19.4173	54.3	GCA_001600095.1	NA	BCIX01	8	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028405
Erythrobasidium yunnanense	114840	PRJDB3690	313851	Fungi	Basidiomycetes	20.9305	51	GCA_001600175.1	NA	BCJC01	11	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028410
Yarrowia keelungensis	1635098	PRJDB3795	313892	Fungi	Ascomycetes	21.8244	48	GCA_001600195.1	NA	BCJD01	41	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028411
Vanrija humicola	5417	PRJDB3692	313853	Fungi	Basidiomycetes	22.6538	62.7	GCA_001600235.1	NA	BCJF01	10	NA	NA	2016-03-01	2016-06-16	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028413
Apiotrichum porosum	105984	PRJNA531017	531017	Fungi	Basidiomycetes	25.4795	59.2	GCA_003942205.1	NA	RSCE01	32	9729	9153	2018-12-12	2018-12-12	Contig	NCBI	SAMN10458770
Apiotrichum brassicae	82513	PRJDB3695	313856	Fungi	Basidiomycetes	23.6477	56.5	GCA_001600295.1	NA	BCJI01	16	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028416
Apiotrichum gamsii	1105092	PRJDB3703	313859	Fungi	Basidiomycetes	24.6094	61.1	GCA_001600315.1	NA	BCJN01	29	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028424
Apiotrichum gracile	82516	PRJDB3704	313860	Fungi	Basidiomycetes	24.1149	59.2	GCA_001600335.1	NA	BCJO01	17	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028425
Meira nashicola	286112	PRJDB3711	313865	Fungi	Basidiomycetes	18.0157	40	GCA_001600355.1	NA	BCJU01	58	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028432
Wickerhamiella versatilis	27304	PRJDB3712	313866	Fungi	Ascomycetes	9.31303	44.8	GCA_001600375.1	NA	BCJV01	19	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028433
Pilasporangium apinafurcum	1635159	PRJDB3797	313894	Protists	Other Protists	37.4447	43.9	GCA_001600495.1	NA	BCKE01	280	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028700
Yarrowia sp. JCM 30694	1635099	PRJDB3798	313895	Fungi	Ascomycetes	21.7583	46	GCA_001600515.1	NA	BCKF01	19	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028701
Yarrowia sp. JCM 30696	1635100	PRJDB3799	313896	Fungi	Ascomycetes	21.7505	47.9	GCA_001600535.1	NA	BCKG01	39	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028702
Albophoma yamanashiensis	1635095	PRJDB3823	313424	Fungi	Ascomycetes	31.3906	56.7	GCA_001600555.1	NA	BCKH01	66	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028762
Didymobotryum rigidum	1635097	PRJDB3824	313898	Fungi	Ascomycetes	41.7297	54.7	GCA_001600575.1	NA	BCKI01	31	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028763
Apiotrichum veenhuisii	105713	PRJDB3717	313871	Fungi	Basidiomycetes	31.6177	59.6	GCA_001600595.1	NA	BCKJ01	35	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031909
Dioszegia crocea	4974	PRJDB3718	313872	Fungi	Basidiomycetes	20.5953	53.2	GCA_001600615.1	NA	BCKK01	26	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031910
Leucosporidium creatinivorum	106004	PRJDB3719	313873	Fungi	Basidiomycetes	27.9692	58.7	GCA_001600635.1	NA	BCKL01	122	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031911
Dioszegia aurantiaca	4973	PRJDB3721	313875	Fungi	Basidiomycetes	19.3441	53.6	GCA_001600655.1	NA	BCKN01	52	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031913
Millerozyma acaciae	28986	PRJDB3722	313876	Fungi	Ascomycetes	11.0659	41.4	GCA_001600675.1	NA	BCKO01	10	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031914
Ascoidea asiatica	1301101	PRJDB3724	313877	Fungi	Ascomycetes	20.3137	24.8	GCA_001600695.1	NA	BCKQ01	71	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031916
Cutaneotrichosporon cutaneum	5554	PRJNA313001	313001	Fungi	Basidiomycetes	30.7172	57.5	GCA_001613755.1	NA	LTAL01	21	NA	NA	2016-04-07	2016-04-25	Scaffold	East China University of Science and Technology	SAMN04510874
Apiotrichum laibachii	82520	PRJDB3730	313881	Fungi	Basidiomycetes	30.6166	59.6	GCA_001600735.1	NA	BCKV01	26	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00031921
Ogataea methanolica	1156966	PRJDB3731	313882	Fungi	Ascomycetes	15.0864	36.2	GCA_001600755.1	NA	BCKW01	32	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00036787
Alloascoidea hylecoeti	54196	PRJDB3734	313885	Fungi	Ascomycetes	24.8157	31.1	GCA_001600815.1	NA	BCKZ01	136	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00036790
Cryptococcus sp. JCM 24511	1639000	PRJDB3825	313899	Fungi	Basidiomycetes	28.1809	58.5	GCA_001600855.1	NA	BCLC01	55	NA	NA	2016-03-01	2016-03-04	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00036793
Solicoccozyma terricola	104414	PRJDB3736	313887	Fungi	Basidiomycetes	24.1179	49.4	GCA_001600875.1	NA	BCLD01	79	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00036794
Maconellicoccus hirsutus	177089	PRJNA436884	436884	Animals	Insects	189.239	35.2	GCA_003261595.1	NA	QBDW01	28882	NA	NA	2018-06-25	2018-06-25	Contig	University of Delhi	SAMN08634590
Trionymus perrisii	1295211	PRJEB12071	316508	Animals	Insects	237.583	31.5	GCA_900050545.1	NA	FIZV01	80386	NA	NA	2016-03-26	2016-03-26	Scaffold	UNIVERSITY OF SOUTH BOHEMIA	SAMEA3699109
Zoysia japonica	309978	PRJDB4210	315537	Plants	Land Plants	334.384	42.6	GCA_001602275.1	NA	BCLF01	11786	NA	NA	2016-03-15	2016-06-03	Scaffold	Lab. of Plant Genomics and Genetics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00041943
Zoysia matrella	38722	PRJDB4210	315537	Plants	Land Plants	563.439	43.3	GCA_001602295.1	NA	BCLG01	13609	NA	NA	2016-03-15	2016-06-03	Scaffold	Lab. of Plant Genomics and Genetics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00041944
Zoysia pacifica	1070856	PRJDB4210	315537	Plants	Land Plants	397.01	43.2	GCA_001602315.1	NA	BCLH01	11428	NA	NA	2016-03-15	2016-06-03	Scaffold	Lab. of Plant Genomics and Genetics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00041945
